zoomlevel,regionId,regionSize,algorithm,rate,delta,waypointCost,computionCost,mappingCost,renderingCost,quality,qualityCost
11,0,0.015625,0,0.01,0,588,0,0,0,0.0,2
11,0,0.015625,0,0.005,0,588,0,0,0,0.0,0
11,0,0.015625,0,0.001,0,524,0,0,0,0.0,0
11,0,0.015625,0,5.0E-4,0,523,0,0,0,0.0,0
11,0,0.015625,0,1.0E-4,0,509,0,0,0,0.0,0
11,0,0.015625,0,5.0E-5,0,514,0,0,0,0.0,0
11,0,0.015625,0,1.0E-5,0,507,0,0,0,0.0,0
11,0,0.015625,1,0.01,0,541,1,0,0,0.0,0
11,0,0.015625,1,0.01,4,589,0,0,0,0.0,0
11,0,0.015625,1,0.01,8,525,0,0,0,0.0,0
11,0,0.015625,1,0.01,16,506,0,0,0,0.0,0
11,0,0.015625,1,0.01,32,513,0,0,0,0.0,0
11,0,0.015625,1,0.01,64,507,0,0,0,0.0,0
11,0,0.015625,1,0.005,0,510,0,0,0,0.0,0
11,0,0.015625,1,0.005,4,512,0,0,0,0.0,0
11,0,0.015625,1,0.005,8,507,0,0,0,0.0,0
11,0,0.015625,1,0.005,16,502,1,0,0,0.0,0
11,0,0.015625,1,0.005,32,503,1,0,0,0.0,0
11,0,0.015625,1,0.005,64,503,0,0,0,0.0,0
11,0,0.015625,1,0.001,0,512,0,0,0,0.0,0
11,0,0.015625,1,0.001,4,502,0,0,0,0.0,0
11,0,0.015625,1,0.001,8,509,0,0,0,0.0,0
11,0,0.015625,1,0.001,16,506,1,0,0,0.0,0
11,0,0.015625,1,0.001,32,502,1,0,0,0.0,0
11,0,0.015625,1,0.001,64,503,0,0,0,0.0,0
11,0,0.015625,1,5.0E-4,0,504,0,0,0,0.0,0
11,0,0.015625,1,5.0E-4,4,506,0,0,0,0.0,0
11,0,0.015625,1,5.0E-4,8,510,0,0,0,0.0,0
11,0,0.015625,1,5.0E-4,16,509,0,0,0,0.0,0
11,0,0.015625,1,5.0E-4,32,502,0,0,0,0.0,1
11,0,0.015625,1,5.0E-4,64,505,0,0,0,0.0,0
11,0,0.015625,1,1.0E-4,0,502,0,0,0,0.0,0
11,0,0.015625,1,1.0E-4,4,506,0,0,0,0.0,0
11,0,0.015625,1,1.0E-4,8,505,0,0,0,0.0,0
11,0,0.015625,1,1.0E-4,16,505,1,0,0,0.0,0
11,0,0.015625,1,1.0E-4,32,506,0,0,0,0.0,0
11,0,0.015625,1,1.0E-4,64,503,0,0,0,0.0,0
11,0,0.015625,1,5.0E-5,0,508,0,0,0,0.0,0
11,0,0.015625,1,5.0E-5,4,514,0,0,0,0.0,0
11,0,0.015625,1,5.0E-5,8,499,0,0,0,0.0,0
11,0,0.015625,1,5.0E-5,16,510,0,0,0,0.0,0
11,0,0.015625,1,5.0E-5,32,514,0,0,0,0.0,0
11,0,0.015625,1,5.0E-5,64,517,0,0,0,0.0,0
11,0,0.015625,1,1.0E-5,0,512,0,0,0,0.0,0
11,0,0.015625,1,1.0E-5,4,512,0,0,0,0.0,0
11,0,0.015625,1,1.0E-5,8,513,0,0,0,0.0,0
11,0,0.015625,1,1.0E-5,16,509,0,0,0,0.0,0
11,0,0.015625,1,1.0E-5,32,508,0,0,0,0.0,0
11,0,0.015625,1,1.0E-5,64,509,0,0,0,0.0,0
11,0,0.03125,0,0.01,0,513,0,0,0,0.0,0
11,0,0.03125,0,0.005,0,509,0,0,0,0.0,0
11,0,0.03125,0,0.001,0,509,0,0,0,0.0,0
11,0,0.03125,0,5.0E-4,0,509,0,0,0,0.0,0
11,0,0.03125,0,1.0E-4,0,512,0,0,0,0.0,0
11,0,0.03125,0,5.0E-5,0,515,0,0,0,0.0,0
11,0,0.03125,0,1.0E-5,0,518,0,0,0,0.0,0
11,0,0.03125,1,0.01,0,520,0,0,0,0.0,0
11,0,0.03125,1,0.01,4,512,0,0,0,0.0,0
11,0,0.03125,1,0.01,8,513,0,0,0,0.0,0
11,0,0.03125,1,0.01,16,515,0,0,0,0.0,0
11,0,0.03125,1,0.01,32,507,1,0,0,0.0,0
11,0,0.03125,1,0.01,64,632,0,0,0,0.0,0
11,0,0.03125,1,0.005,0,531,0,0,0,0.0,1
11,0,0.03125,1,0.005,4,516,0,0,0,0.0,0
11,0,0.03125,1,0.005,8,507,0,0,0,0.0,0
11,0,0.03125,1,0.005,16,505,0,0,0,0.0,0
11,0,0.03125,1,0.005,32,504,1,0,0,0.0,0
11,0,0.03125,1,0.005,64,551,0,0,0,0.0,0
11,0,0.03125,1,0.001,0,513,0,0,0,0.0,0
11,0,0.03125,1,0.001,4,527,0,0,0,0.0,0
11,0,0.03125,1,0.001,8,517,0,0,0,0.0,0
11,0,0.03125,1,0.001,16,508,1,0,0,0.0,0
11,0,0.03125,1,0.001,32,505,0,0,0,0.0,0
11,0,0.03125,1,0.001,64,505,0,0,0,0.0,0
11,0,0.03125,1,5.0E-4,0,506,0,0,0,0.0,0
11,0,0.03125,1,5.0E-4,4,509,0,0,0,0.0,0
11,0,0.03125,1,5.0E-4,8,503,0,0,0,0.0,0
11,0,0.03125,1,5.0E-4,16,516,0,0,0,0.0,1
11,0,0.03125,1,5.0E-4,32,519,0,0,0,0.0,0
11,0,0.03125,1,5.0E-4,64,546,0,0,0,0.0,0
11,0,0.03125,1,1.0E-4,0,527,0,0,0,0.0,0
11,0,0.03125,1,1.0E-4,4,512,0,0,0,0.0,0
11,0,0.03125,1,1.0E-4,8,512,0,0,0,0.0,0
11,0,0.03125,1,1.0E-4,16,512,0,0,0,0.0,0
11,0,0.03125,1,1.0E-4,32,509,0,0,0,0.0,0
11,0,0.03125,1,1.0E-4,64,508,0,0,0,0.0,0
11,0,0.03125,1,5.0E-5,0,507,0,0,0,0.0,0
11,0,0.03125,1,5.0E-5,4,508,0,0,0,0.0,0
11,0,0.03125,1,5.0E-5,8,506,0,0,0,0.0,0
11,0,0.03125,1,5.0E-5,16,502,0,0,0,0.0,0
11,0,0.03125,1,5.0E-5,32,511,1,0,0,0.0,0
11,0,0.03125,1,5.0E-5,64,506,1,0,0,0.0,0
11,0,0.03125,1,1.0E-5,0,507,0,0,0,0.0,0
11,0,0.03125,1,1.0E-5,4,503,0,0,0,0.0,0
11,0,0.03125,1,1.0E-5,8,514,1,0,0,0.0,0
11,0,0.03125,1,1.0E-5,16,504,1,0,0,0.0,0
11,0,0.03125,1,1.0E-5,32,510,0,0,0,0.0,0
11,0,0.03125,1,1.0E-5,64,509,0,0,0,0.0,0
11,0,0.0625,0,0.01,0,512,0,0,0,0.0,0
11,0,0.0625,0,0.005,0,511,0,0,0,0.0,0
11,0,0.0625,0,0.001,0,510,0,0,0,0.0,0
11,0,0.0625,0,5.0E-4,0,509,0,0,0,0.0,1
11,0,0.0625,0,1.0E-4,0,505,0,0,0,0.0,1
11,0,0.0625,0,5.0E-5,0,505,0,0,0,0.0,0
11,0,0.0625,0,1.0E-5,0,502,0,0,0,0.0,0
11,0,0.0625,1,0.01,0,505,1,0,0,0.0,0
11,0,0.0625,1,0.01,4,505,1,0,0,0.0,0
11,0,0.0625,1,0.01,8,503,1,0,0,0.0,0
11,0,0.0625,1,0.01,16,503,1,0,0,0.0,0
11,0,0.0625,1,0.01,32,505,1,0,0,0.0,0
11,0,0.0625,1,0.01,64,503,1,0,0,0.0,0
11,0,0.0625,1,0.005,0,501,1,0,0,0.0,0
11,0,0.0625,1,0.005,4,502,1,0,0,0.0,0
11,0,0.0625,1,0.005,8,504,1,0,0,0.0,0
11,0,0.0625,1,0.005,16,511,1,0,0,0.0,0
11,0,0.0625,1,0.005,32,506,1,0,0,0.0,0
11,0,0.0625,1,0.005,64,508,1,0,0,0.0,0
11,0,0.0625,1,0.001,0,510,1,0,0,0.0,0
11,0,0.0625,1,0.001,4,512,1,0,0,0.0,0
11,0,0.0625,1,0.001,8,505,0,0,0,0.0,0
11,0,0.0625,1,0.001,16,505,1,0,0,0.0,0
11,0,0.0625,1,0.001,32,505,1,0,0,0.0,0
11,0,0.0625,1,0.001,64,504,0,0,0,0.0,1
11,0,0.0625,1,5.0E-4,0,508,0,0,0,0.0,0
11,0,0.0625,1,5.0E-4,4,503,0,0,0,0.0,0
11,0,0.0625,1,5.0E-4,8,502,0,0,0,0.0,1
11,0,0.0625,1,5.0E-4,16,507,0,0,0,0.0,0
11,0,0.0625,1,5.0E-4,32,506,1,0,0,0.0,0
11,0,0.0625,1,5.0E-4,64,508,0,0,0,0.0,1
11,0,0.0625,1,1.0E-4,0,510,0,0,0,0.0,0
11,0,0.0625,1,1.0E-4,4,512,1,0,0,0.0,0
11,0,0.0625,1,1.0E-4,8,509,1,0,0,0.0,0
11,0,0.0625,1,1.0E-4,16,504,0,0,0,0.0,0
11,0,0.0625,1,1.0E-4,32,504,0,0,0,0.0,0
11,0,0.0625,1,1.0E-4,64,503,0,0,0,0.0,0
11,0,0.0625,1,5.0E-5,0,502,0,1,0,0.0,0
11,0,0.0625,1,5.0E-5,4,502,1,0,0,0.0,0
11,0,0.0625,1,5.0E-5,8,503,1,0,0,0.0,0
11,0,0.0625,1,5.0E-5,16,502,1,0,0,0.0,0
11,0,0.0625,1,5.0E-5,32,514,0,0,0,0.0,0
11,0,0.0625,1,5.0E-5,64,503,0,0,0,0.0,1
11,0,0.0625,1,1.0E-5,0,503,1,0,0,0.0,0
11,0,0.0625,1,1.0E-5,4,510,0,0,0,0.0,1
11,0,0.0625,1,1.0E-5,8,511,0,0,0,0.0,0
11,0,0.0625,1,1.0E-5,16,502,0,0,0,0.0,0
11,0,0.0625,1,1.0E-5,32,503,1,0,0,0.0,0
11,0,0.0625,1,1.0E-5,64,514,0,0,0,0.0,0
11,0,0.125,0,0.01,0,507,0,1,0,0.04278523489932886,1
11,0,0.125,0,0.005,0,514,0,0,0,0.040268456375838924,2
11,0,0.125,0,0.001,0,503,0,0,0,0.0,1
11,0,0.125,0,5.0E-4,0,502,0,0,0,0.0,2
11,0,0.125,0,1.0E-4,0,508,0,0,0,0.0,2
11,0,0.125,0,5.0E-5,0,510,0,0,0,0.0,1
11,0,0.125,0,1.0E-5,0,516,0,0,0,0.0,2
11,0,0.125,1,0.01,0,507,4,1,2,0.08640939597315436,1
11,0,0.125,1,0.01,4,505,9,1,1,0.23406040268456377,4
11,0,0.125,1,0.01,8,510,11,0,1,0.3187919463087248,6
11,0,0.125,1,0.01,16,510,28,1,0,0.5293624161073825,19
11,0,0.125,1,0.01,32,503,130,1,0,0.8045302013422819,111
11,0,0.125,1,0.01,64,511,466,0,1,1.0,457
11,0,0.125,1,0.005,0,515,3,0,0,0.07046979865771812,1
11,0,0.125,1,0.005,4,540,3,1,0,0.17953020134228187,2
11,0,0.125,1,0.005,8,501,6,0,0,0.23909395973154363,4
11,0,0.125,1,0.005,16,508,16,0,0,0.3800335570469799,25
11,0,0.125,1,0.005,32,522,61,0,0,0.660234899328859,66
11,0,0.125,1,0.005,64,517,252,0,1,1.0,250
11,0,0.125,1,0.001,0,517,2,0,0,0.0,1
11,0,0.125,1,0.001,4,503,1,0,0,0.0,1
11,0,0.125,1,0.001,8,517,3,0,0,0.0,1
11,0,0.125,1,0.001,16,502,3,0,0,0.0,1
11,0,0.125,1,0.001,32,507,2,0,0,0.0,1
11,0,0.125,1,0.001,64,514,3,0,0,0.0,1
11,0,0.125,1,5.0E-4,0,501,2,0,0,0.0,1
11,0,0.125,1,5.0E-4,4,503,3,0,0,0.0,1
11,0,0.125,1,5.0E-4,8,508,2,0,0,0.0,1
11,0,0.125,1,5.0E-4,16,510,2,0,0,0.0,1
11,0,0.125,1,5.0E-4,32,508,2,0,0,0.0,1
11,0,0.125,1,5.0E-4,64,501,2,0,0,0.0,2
11,0,0.125,1,1.0E-4,0,500,2,0,0,0.0,1
11,0,0.125,1,1.0E-4,4,503,2,0,0,0.0,1
11,0,0.125,1,1.0E-4,8,502,2,0,0,0.0,1
11,0,0.125,1,1.0E-4,16,502,3,0,0,0.0,1
11,0,0.125,1,1.0E-4,32,502,2,0,0,0.0,2
11,0,0.125,1,1.0E-4,64,510,2,0,0,0.0,2
11,0,0.125,1,5.0E-5,0,513,2,0,0,0.0,1
11,0,0.125,1,5.0E-5,4,505,2,0,0,0.0,2
11,0,0.125,1,5.0E-5,8,504,2,0,0,0.0,2
11,0,0.125,1,5.0E-5,16,502,2,0,0,0.0,1
11,0,0.125,1,5.0E-5,32,502,3,0,0,0.0,1
11,0,0.125,1,5.0E-5,64,503,2,0,0,0.0,1
11,0,0.125,1,1.0E-5,0,503,2,0,0,0.0,2
